요양기관명,시도코드명,시군구코드명,주소,위도,경도
가천대학교 길병원,인천광역시,남동구,인천광역시 남동구 남동대로774번길 21,37.4518557,126.7092156
분당차병원,경기도,성남시,경기도 성남시 분당구 야탑로 59(야탑동 351),37.4102496,127.1252498
서울대학교병원,서울특별시,종로구,서울특별시 종로구 대학로 101(연건동 28),37.5788356,127.0010432
서울아산병원,서울특별시,송파구,서울특별시 송파구 올림픽로 43길 88,37.5262749,127.1094775
세브란스병원,서울특별시,서대문구,서울특별시 서대문구 연세로 50-1,37.5646993,126.9394972
세종충남대학교병원,세종특별자치시,보듬7로,세종특별자치시 보듬7로 20,36.5195969,127.2581135
순천향대학교 천안병원,충청남도,천안시,충청남도 천안시 동남구 순천향 6길 31,36.8025927,127.1357093
양산부산대학교병원,경상남도,양산시,경상남도 양산시 물금읍 금오로 20,35.3251513,129.0068369
인하대학교병원,인천광역시,중구,인천광역시 중구 인항로 27,37.4586179,126.6339279
칠곡경북대학교병원,대구광역시,북구,대구광역시 북구 호국로 807,35.9561473,128.5643578
