요양기관명,시도코드명,시군구코드명,주소,위도,경도
의료법인우리아이들의료재단우리아이들병원,서울특별시,구로구,"서울특별시 구로구 새말로 15, 2~9층 (구로동, 삼전솔하임)",37.5021971,126.8824818
24시열린의원,서울특별시,광진구,"서울특별시 광진구 능동로 90, 3층 (자양동, 더클래식500)",37.5384449,127.0710527
연세곰돌이소아청소년과의원,서울특별시,서초구,"서울특별시 서초구 방배로 226, 넥센강남타워 3층 (방배동)",37.49340520000001,126.9906826
연세의원,서울특별시,강서구,"서울특별시 강서구 화곡로 197, 1,2층 (화곡동)",37.5434446,126.8427895
미즈아이프라자산부인과의원,서울특별시,노원구,"서울특별시 노원구 동일로 1669, 수락프라자 (상계동)",37.6774464,127.0550713
24시열린의원,서울특별시,양천구,"서울특별시 양천구 목동동로 233-1, 109호 (목동, 현대드림타워)",37.5274975,126.8716046
24시열린의원,서울특별시,송파구,"서울특별시 송파구 백제고분로 187, 2층 205,206호 (잠실동, 파크인수)",37.5047602,127.0877456
세곡달빛의원,서울특별시,강남구,"서울특별시 강남구 헌릉로569길 27, 2층 (세곡동, 2층일부(201-2호,202호))",37.466796,127.09879
24시열린의원,서울특별시,마포구,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 지하층 B1095호 (상암동)",37.5796548,126.8900812
성북우리아이들병원,서울특별시,성북구,서울특별시 성북구 동소문로46길 10 (하월곡동),37.6047727,127.0437748
송파365의원,서울특별시,송파구,"서울특별시 송파구 송파대로 111, 하비오길 202동 162~164호 (문정동, 파크하비오)",37.4806043,127.1236664
연세도우리소아청소년과의원,서울특별시,강남구,"서울특별시 강남구 삼성로 14, S동 216호, 312호 (개포동, 개포자이 프레지던스)",37.48553709999999,127.0714351
정관우리아동병원,부산광역시,기장군,"부산광역시 기장군 정관읍 정관중앙로 56, 프라임빌딩",35.3217181,129.1796159
명지아동병원,부산광역시,강서구,"부산광역시 강서구 명지국제8로 240, 402,501,601호 (명지동, 국제메디칼빌딩)",35.0978204,128.91887
아이(i)서울병원,부산광역시,영도구,"부산광역시 영도구 영선대로 75, 삼호빌딩 (영선동2가)",35.0882639,129.0425915
해운대푸른바다어린이병원,부산광역시,해운대구,"부산광역시 해운대구 좌동순환로 505, 센트럴메디타워 3층일부, 11층일부, 12.13층,205호~208호 (중동)",35.1656667,129.1682245
99서울소아청소년과의원,부산광역시,동래구,"부산광역시 동래구 금강로 91, 지상 4~6층 (온천동)",35.2171736,129.0784101
아이사랑병원,부산광역시,연제구,"부산광역시 연제구 반송로 28-1, 1층 일부(102호, 104호),2,3,4,5,10층 (연산동)",35.1875562,129.0840695
부산더키즈병원,부산광역시,사하구,"부산광역시 사하구 다대로 234, 5,6,7,8,9층 (장림동)",35.0816615,128.9769189
한영한마음아동병원,대구광역시,남구,대구광역시 남구 월배로 468 (대명동),35.8346386,128.5559905
율하연합소아청소년과의원,대구광역시,동구,"대구광역시 동구 안심로16길 47, 율하동 타임스퀘어 5층 (율하동)",35.8634659,128.6937734
연세소아과의원,인천광역시,미추홀구,인천광역시 미추홀구 토금남로 53 (용현동),37.4506912,126.6384838
청라연세어린이병원,인천광역시,서구,"인천광역시 서구 중봉대로612번길 10-16 (청라동, 마르씨엘)",37.5333816,126.6516009
브이아이씨(V.I.C)365소아청소년과의원,인천광역시,연수구,"인천광역시 연수구 송도국제대로 157, 오네스타 4층,7층 409호,701~710호 (송도동)",37.3809064,126.6566628
청라좋은병원,인천광역시,서구,"인천광역시 서구 청라에메랄드로 79, 커낼에비뉴 1층일부, 2~4층 (청라동)",37.5323349,126.6557195
영종이엠365의원,인천광역시,중구,"인천광역시 중구 하늘달빛로 84, 4층 (중산동)",37.4867592,126.5581627
검단위키즈 병원,인천광역시,서구,"인천광역시 서구 원당대로 1039, 태경타워 3,4층 전체호 (원당동)",37.5968985,126.7079205
검단조은아이365병원,인천광역시,서구,"인천광역시 서구 발산로5번길 12, 인천검단 엔젤리움1차 윈팰리스 6,7층 (원당동)",37.5968985,126.7079205
광주기독병원,광주광역시,남구,광주광역시 남구 양림로 37 (양림동),35.1366889,126.9120838
광주센트럴병원,광주광역시,광산구,"광주광역시 광산구 수완로 6, A동1,3,5,6층/B동동 (신가동)",35.1857062,126.8294481
김영소아청소년과의원,대전광역시,동구,"대전광역시 동구 옥천로 153, 3, 4층 (판암동)",36.3137994,127.4641381
코젤병원,대전광역시,유성구,"대전광역시 유성구 계룡로 150, 6~7층 (봉명동,승호빌딩)",36.3517888,127.3468884
누리엘병원,대전광역시,동구,대전광역시 동구 동서대로 1641 (용전동),36.348051,127.4325531
탄방엠블병원,대전광역시,서구,"대전광역시 서구 문정로48번길 70, 3,6층 (탄방동)",36.3436159,127.384078
을지소아청소년과병원,대전광역시,대덕구,"대전광역시 대덕구 송촌북로 60-0, 3~7층 (송촌동,을지소아크리닉)",36.3676298,127.4360817
봉키병원,대전광역시,유성구,대전광역시 유성구 계룡로 120-0 (봉명동),36.3526481,127.3437182
햇살아동병원,울산광역시,울주군,울산광역시 울주군 범서읍 천상중앙길 80,35.5630974,129.2277355
웰키즈소아청소년과의원,세종특별자치시,보듬3로,"세종특별자치시 보듬3로 95, 118,307,308,309-1,310-2,401~5, 410,603~8,705~6호 (아름동)",36.511367,127.2490841
강남병원,경기도,용인시,"경기도 용인시 기흥구 중부대로 411, 강남병원 (신갈동)",37.2735355,127.1113393
의료법인 일심의료재단 포천우리병원,경기도,포천시,경기도 포천시 소흘읍 호국로 661,37.8274135,127.147912
서울어린이병원,경기도,오산시,경기도 오산시 경기대로 209 (원동),37.1412516,127.082662
의료법인양진의료재단성세아이들병원,경기도,평택시,경기도 평택시 조개터로42번길 61 (합정동),36.9903914,127.1061751
박승남소아청소년과의원,경기도,의정부시,"경기도 의정부시 녹양로 77, 1,2층 (녹양동)",37.7577723,127.0339739
아주맑은소아청소년과의원,경기도,수원시,"경기도 수원시 영통구 효원로 363 (매탄동, 303상가 B202호, 203호)",37.2618194,127.04141
성모수메디컬의원,경기도,수원시,"경기도 수원시 권선구 금곡로 112, 이수프라자 304,305,306,308호 (금곡동)",37.2739425,126.9425406
일산우리들소아청소년과의원,경기도,고양시,"경기도 고양시 일산서구 중앙로 1426, 일송노블레스 207호, 208(일부)호, 810호 (주엽동)",37.6702732,126.7619559
센트럴제일안과의원,경기도,파주시,"경기도 파주시 경의로 1092, 401호, 406호~408호, 501호 (야당동)",37.71711639999999,126.7713705
준소아청소년과의원,경기도,광명시,"경기도 광명시 오리로 857, 2층 202호 (철산동, 일청빌딩)",37.4816191,126.862039
송내연합의원,경기도,부천시,"경기도 부천시 경인로 126, 2층,3층 (송내동)",37.4838326,126.7693023
아름드리365소아청소년과의원,경기도,김포시,"경기도 김포시 유현로238번길 31, 웅신타워 3층 303호 (풍무동)",37.611405,126.7326761
튼튼어린이병원,경기도,의정부시,"경기도 의정부시 평화로 647, 미건메디컬프라자 지하1, 2, 3층 (의정부동)",37.7496269,127.0446275
동탄성모병원,경기도,화성시,"경기도 화성시 동탄순환대로 127-19, 동탄에스비타운 3(일부),6,7층 (산척동)",37.1674104,127.1071173
웰봄병원,경기도,오산시,"경기도 오산시 경기대로 534, 3층 303호, 5~10층 (수청동)",37.1679497,127.0625755
김포아이제일병원,경기도,김포시,"경기도 김포시 김포한강8로 382, 6,7,8,11층 (구래동)",37.6435774,126.6266402
히즈메디병원,경기도,김포시,경기도 김포시 김포대로 681 (풍무동),37.6034723,126.7135965
아이맘어린이병원,경기도,남양주시,"경기도 남양주시 다산중앙로 105-8, 다산동 3~5층 (다산동)",37.6227133,127.1529014
드림365소아청소년과의원,경기도,양주시,"경기도 양주시 회천남로 92, 센타프라자 606호,901~903호 (옥정동)",37.8185579,127.0922138
베스트아이들병원,경기도,화성시,"경기도 화성시 동탄지성로 20, 2~7층 (반송동)",37.20531039999999,127.072412
브이아이씨365병원,경기도,파주시,"경기도 파주시 책향기로 836, 3,4,5층 (와동동)",37.729259,126.7637615
이보라소아청소년과의원,경기도,의정부시,"경기도 의정부시 오목로 33, 4층 404,405,406,407,408호 (용현동)",37.7335002,127.0863509
연세열린의원,경기도,고양시,"경기도 고양시 덕양구 지축1로 39, 401호 (지축동)",37.6690183,126.9400491
우리소아과의원,강원특별자치도,춘천시,강원특별자치도 춘천시 영서로 2025 (석사동),37.85252,127.7457308
우리들소아청소년과의원,강원특별자치도,원주시,강원특별자치도 원주시 감영길 11 (일산동),37.3475053,127.9499826
조엘소아청소년과의원,충청북도,청주시,"충청북도 청주시 흥덕구 서부로 1303, 2층 (가경동)",36.6159133,127.4434218
늘푸른소아청소년과의원,충청북도,충주시,충청북도 충주시 계명대로 19 (칠금동),36.9826602,127.9165894
아이웰어린이병원,충청북도,청주시,"충청북도 청주시 청원구 주성로 273, 2~7층 (주성동)",36.6706398,127.4967355
재단법인베스티안재단베스티안병원,충청북도,청주시,충청북도 청주시 흥덕구 오송읍 오송생명1로 191-0,36.6362406,127.3216581
웰니스어린이병원,충청북도,청주시,충청북도 청주시 상당구 2순환로2031번길 6-20 (방서동),36.5980519,127.5046984
두정이진병원,충청남도,천안시,충청남도 천안시 서북구 동서대로 65 (두정동),36.8260764,127.1305385
김종인소아청소년과의원,충청남도,천안시,충청남도 천안시 서북구 충무로 174 (쌍용동),36.7941158,127.126733
엔젤소아청소년과의원,충청남도,공주시,충청남도 공주시 번영1로 124 (신관동),36.4740893,127.1411935
아산충무병원,충청남도,아산시,충청남도 아산시 문화로 381 (모종동),36.7832862,127.0223573
신도시이진병원,충청남도,아산시,"충청남도 아산시 배방읍 희망로46번길 45-9 (정주프라자, 지하1층, 2~5층)",36.7897073,127.1073497
대자인병원,전북특별자치도,전주시,"전북특별자치도 전주시 덕진구 견훤로 390 (우아동3가,(우아동3가))",35.8459449,127.1534117
전주다솔아동병원,전북특별자치도,전주시,"전북특별자치도 전주시 완산구 우전로 250, 2~4층 (효자동2가)",35.8171596,127.1022764
해맑은연합소아청소년과의원,전북특별자치도,전주시,전북특별자치도 전주시 완산구 모악로 4746 (평화동1가),35.7954511,127.1394961
엔젤연합소아청소년과의원,전북특별자치도,부안군,전북특별자치도 부안군 부안읍 석정로 233 (부안읍),35.7248787,126.7377501
믿음병원,전북특별자치도,김제시,전북특별자치도 김제시 금성로 90-0 (신풍동),35.7991567,126.9000251
미즈여성아동병원,전라남도,순천시,전라남도 순천시 조례1길 10-26 (조례동),34.9599886,127.5220802
다나소아과의원,전라남도,광양시,전라남도 광양시 광장로 147 (중동),34.9371333,127.694864
의료법인내일의료재단 현대여성아동병원,전라남도,순천시,전라남도 순천시 장선배기1길 8 (조례동),34.953396,127.5226015
서울아동병원,경상남도,거제시,경상남도 거제시 서문로5길 6 (고현동),34.8893193,128.6210349
서울아동병원,경상남도,통영시,"경상남도 통영시 중앙로 334-1, 4~9층 (무전동)",34.8600843,128.4292012
거제아동병원,경상남도,거제시,경상남도 거제시 동문천로 52 (고현동),34.8828627,128.6262543
김해아동병원,경상남도,김해시,"경상남도 김해시 내외중앙로 74, 6,7층 (내동, 밝은메디칼센터)",35.2364427,128.8673635
서울패밀리병원,경상남도,창원시,"경상남도 창원시 성산구 마디미서로 54, 서울아동병원(2,7,8,9,11,12층) (상남동)",35.220848,128.680955
양덕서울아동병원,경상남도,창원시,경상남도 창원시 마산회원구 양덕로 190 (석전동),35.2342756,128.5804094
우리들소아과의원,제주특별자치도,서귀포시,"제주특별자치도 서귀포시 중정로 70, (서귀동)",33.247834,126.5638606
탑동365일의원,제주특별자치도,제주시,"제주특별자치도 제주시 탑동로 24 (삼도이동,2층)",33.5176177,126.5224683
연동365일의원,제주특별자치도,제주시,"제주특별자치도 제주시 연북로 99, 2층 (연동, 365빌딩)",33.4821825,126.4920391
